task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	5c/ad6856	93698	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:GUNZIP_GTF (Mus_musculus.GRCm38.81.gtf.gz)	CACHED	0	2024-10-05 17:51:08.423	5.7s	4.4s	95.8%	4.1 MB	7.2 MB	26.6 MB	827.5 MB
2	d5/8f29c6	93784	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:GTF_TO_TABLE (Mus_musculus)	CACHED	0	2024-10-05 17:51:14.228	15.2s	14s	101.6%	655.3 MB	1.8 GB	1.7 GB	23.8 MB
3	69/9211a0	93955	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:VALIDATOR (SRP254919.samplesheet.csv)	CACHED	0	2024-10-05 17:51:30.239	18.6s	18s	105.7%	672.3 MB	1.7 GB	101.4 MB	9.6 MB
4	d2/5e4975	94140	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:TABULAR_TO_GSEA_CHIP (1)	CACHED	0	2024-10-05 17:51:48.932	2.4s	0ms	109.8%	2.7 MB	11 MB	19.2 MB	10.9 MB
6	0f/522d50	94250	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:CUSTOM_TABULARTOGSEACLS (treatment_mCherry_hND6_)	CACHED	0	2024-10-05 17:51:52.354	1s	56ms	90.6%	2.9 MB	3.9 MB	201.9 KB	18.1 KB
7	42/0c6539	94201	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:CUSTOM_TABULARTOGSEACLS (treatment_mCherry_hND6_sample_number)	CACHED	0	2024-10-05 17:51:51.315	1s	42ms	90.9%	2.9 MB	3.9 MB	201.9 KB	18.1 KB
5	9a/2561cf	94303	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:CUSTOM_MATRIXFILTER ([id:SRP254919])	CACHED	0	2024-10-05 17:51:53.395	1.7s	1s	197.7%	3.1 MB	5.4 MB	5.9 MB	69 KB
10	79/1ddb42	94730	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:DESEQ2_DIFFERENTIAL ([id:treatment_mCherry_hND6_sample_number, variable:treatment, reference:mCherry, target:hND6, blocking:sample_number])	CACHED	0	2024-10-05 17:52:33.436	17.9s	16s	139.0%	747.7 MB	2.2 GB	38.8 MB	766.8 KB
9	81/550cbd	94552	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:DESEQ2_NORM ([id:treatment_mCherry_hND6_, variable:treatment, reference:mCherry, target:hND6, blocking:])	CACHED	0	2024-10-05 17:52:14.928	18.5s	18s	134.0%	721.7 MB	2 GB	38.8 MB	726.9 KB
8	ca/2c0bba	94377	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:DESEQ2_DIFFERENTIAL ([id:treatment_mCherry_hND6_, variable:treatment, reference:mCherry, target:hND6, blocking:])	CACHED	0	2024-10-05 17:51:55.865	19.1s	18s	146.1%	715.9 MB	2 GB	38.8 MB	726.9 KB
